replay_file,timestamp_s,map_name,duration_s,label,p1_player_id,p1_race,p1_minerals,p1_vespene,p1_minerals_spent,p1_vespene_spent,p1_supply_used,p1_supply_cap,p1_workers_count,p1_army_count,p1_unit_types_count,p1_buildings_count,p1_units_lost,p1_supply_ratio,p1_eco_ratio,p1_army_ratio,p2_player_id,p2_race,p2_minerals,p2_vespene,p2_minerals_spent,p2_vespene_spent,p2_supply_used,p2_supply_cap,p2_workers_count,p2_army_count,p2_unit_types_count,p2_buildings_count,p2_units_lost,p2_supply_ratio,p2_eco_ratio,p2_army_ratio,delta_minerals,delta_vespene,delta_workers,delta_army,delta_supply
Mothership LE (8).SC2Replay,300,Mothership LE,2902,2,1,Terran,880,213,150,100,37.0,55.0,28,16,18,1,0,0.6727272727272727,0.7567567567567568,0.43243243243243246,2,Terran,245,527,500,250,40.0,46.0,29,21,19,1,0,0.8695652173913043,0.725,0.525,635,-314,-1,-5,-0.1968379446640316
Mothership LE (8).SC2Replay,600,Mothership LE,2902,2,1,Terran,1285,123,1975,575,90.0,103.0,47,45,21,1,0,0.8737864077669902,0.5222222222222223,0.5,2,Terran,895,51,1800,875,86.0,86.0,46,36,21,1,0,1.0,0.5348837209302325,0.4186046511627907,390,72,1,9,-0.12621359223300976
Mothership LE (8).SC2Replay,900,Mothership LE,2902,2,1,Terran,405,339,3925,1650,132.0,166.0,58,64,24,1,0,0.7951807228915663,0.4393939393939394,0.48484848484848486,2,Terran,2180,1260,4850,2875,135.0,157.0,46,50,22,1,1,0.8598726114649682,0.34074074074074073,0.37037037037037035,-1775,-921,12,14,-0.06469188857340191
PvZ - Stargate into Archon Drop.SC2Replay,300,Taito Citadel LE,448,2,1,Protoss,55,475,725,250,62.0,70.0,49,20,21,1,3,0.8857142857142857,0.7903225806451613,0.3225806451612903,2,Zerg,1800,1095,400,25,27.0,38.0,33,27,22,1,23,0.7105263157894737,1.2222222222222223,1.0,-1745,-620,16,-7,0.175187969924812
Runling Run 8 - 2020 (53).SC2Replay,300,Runling Run 8 - 2020,3451,0,1,Zerg,0,0,0,0,1.0,0.0,0,1,1,0,13,0.0,0.0,1.0,2,Zerg,0,0,0,0,1.0,0.0,0,1,1,0,35,0.0,0.0,1.0,0,0,0,0,0.0
Runling Run 8 - 2020 (53).SC2Replay,600,Runling Run 8 - 2020,3451,0,1,Zerg,0,0,0,0,1.0,0.0,0,1,1,0,15,0.0,0.0,1.0,2,Zerg,0,0,0,0,1.0,0.0,0,1,1,0,64,0.0,0.0,1.0,0,0,0,0,0.0
Runling Run 8 - 2020 (53).SC2Replay,900,Runling Run 8 - 2020,3451,0,1,Zerg,0,0,0,0,1.0,0.0,0,1,1,0,21,0.0,0.0,1.0,2,Zerg,0,0,0,0,1.0,0.0,0,1,1,0,86,0.0,0.0,1.0,0,0,0,0,0.0
SCIInewby v vvv - Taito Citadel LE.SC2Replay,300,Taito Citadel LE,555,1,1,Protoss,140,74,100,0,42.0,78.0,38,16,18,1,0,0.5384615384615384,0.9047619047619048,0.38095238095238093,2,Terran,158,557,100,25,29.0,38.0,25,16,18,1,0,0.7631578947368421,0.8620689655172413,0.5517241379310345,-18,-483,13,0,-0.2246963562753037
Tourmaline LE (116).SC2Replay,300,Tourmaline LE,453,2,1,Zerg,160,580,1200,0,70.0,84.0,57,48,21,1,65,0.8333333333333334,0.8142857142857143,0.6857142857142857,2,Terran,2640,1204,150,0,23.0,31.0,21,18,19,1,1,0.7419354838709677,0.9130434782608695,0.782608695652174,-2480,-624,36,30,0.09139784946236562
Voracity (5).SC2Replay,300,Voracity,524,1,1,Zerg,254,195,700,25,52.0,52.0,45,28,22,1,55,1.0,0.8653846153846154,0.5384615384615384,2,Protoss,85,636,0,0,68.0,69.0,57,15,17,1,0,0.9855072463768116,0.8382352941176471,0.22058823529411764,169,-441,-12,13,0.01449275362318836
